Order_Added,valid_AphiaID,length_cm,diameter_width_cm,height_cm,Notes,Size_Ref,Date_Added,Biological_Unit
165496,291594,30,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165497,377314,5,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165498,369038,8,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165499,291604,25,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165500,504293,3,NA,1.7,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165501,504279,0.5,NA,0.25,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165502,457862,NA,9,13,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165503,457863,NA,7,9.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165504,599353,8.7,3.2,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165505,504667,0.18,NA,0.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165506,504666,0.15,NA,0.11,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165507,505930,2.4,NA,1,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165508,504297,10,NA,6.6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165509,505246,NA,1,0.55,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165510,505274,NA,0.73,0.47,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165511,393958,7.3,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165512,504263,NA,6.5,5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165513,505946,3.6,NA,1.6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165514,878315,NA,6.3,3.6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165515,592694,NA,0.6,0.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165516,592696,NA,0.55,0.45,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165517,395494,4.6,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165518,507067,30,12,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165519,505962,6,3,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165520,408113,NA,0.44,0.29,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165521,505128,NA,0.66,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165522,408119,NA,0.35,0.25,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165523,408125,NA,0.38,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165524,505129,NA,0.25,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165525,506579,NA,0.115,0.1,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165526,507386,NA,6,5.4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165527,527844,NA,1.3,1.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165528,504384,7.8,NA,4.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165529,506984,10.2,NA,3.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165530,878318,NA,5.1,3.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165531,878319,7.5,NA,5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165532,506878,NA,0.29,0.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165533,506879,NA,0.55,0.37,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165534,507389,NA,6.6,5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165535,504419,0.4,NA,0.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165536,457556,9,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165537,504951,NA,0.09,0.09,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165538,504952,NA,1.21,0.08,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165539,504953,NA,0.11,0.11,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165540,504954,NA,0.08,0.08,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165541,504957,NA,0.12,0.12,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165542,505975,1.3,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165543,592701,NA,0.2,0.15,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165544,592702,NA,0.28,0.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165545,592703,NA,0.45,0.33,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165546,592704,NA,0.45,0.4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
