Order_Added,valid_AphiaID,length_cm,diameter_width_cm,height_cm,Notes,Size_Ref,Date_Added,Biological_Unit
165547,592705,NA,0.15,0.12,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165548,592706,NA,0.35,0.28,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165549,592707,NA,1,0.7,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165550,592708,NA,0.25,0.22,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165551,408488,NA,1.4,0.85,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165552,504852,3.8,2.6,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165553,504962,NA,0.26,0.23,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165554,599362,NA,NA,0.545,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165555,506743,NA,7.9,5.4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165556,505005,NA,0.1,0.11,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165557,505006,NA,0.13,0.11,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165558,505877,NA,1.4,0.9,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165559,504675,NA,0.25,0.32,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165560,504676,NA,0.26,0.33,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165561,504698,NA,0.18,0.23,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165562,504699,NA,0.23,0.28,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165563,505655,NA,7.5,5.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165564,464122,3.3,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165565,505024,NA,0.25,0.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165566,505022,NA,0.13,0.14,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165567,505017,NA,0.26,0.26,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165568,505021,NA,0.19,0.25,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165569,505016,NA,0.18,0.17,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165570,407767,NA,6.7,2.9,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165571,407829,NA,2.5,1.6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165572,407835,NA,0.42,0.27,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165573,407929,NA,1.5,1.1,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165574,408090,NA,2.2,1,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165575,390746,NA,0.24,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165576,390747,NA,NA,0.19,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165577,390748,NA,0.5,0.36,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165578,390749,NA,0.3,0.18,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165579,391760,NA,0.29,0.24,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165580,390751,NA,0.215,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165581,390750,NA,0.14,0.15,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165582,505656,NA,8,6.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165583,391720,NA,NA,0.75,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165584,547087,NA,0.5,0.4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165585,506015,NA,0.15,0.22,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165586,391790,NA,1.8,1.9,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165587,599402,0.8,0.27,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165588,464139,NA,3.5,4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165589,505447,NA,0.55,0.7,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165590,579006,NA,0.7,0.4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165591,571558,NA,7,5.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165592,507573,NA,8.2,7.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165593,507639,NA,5,4.6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165594,507555,NA,4,3.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165595,507628,NA,4.6,4.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165596,507556,NA,7.5,7.1,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165597,599381,NA,1,0.6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165598,506584,NA,1.3,1.1,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165599,506593,NA,0.56,0.48,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165600,464153,NA,0.8,0.7,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165601,406392,NA,5.8,4.7,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165602,505184,NA,1.7,1.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165603,505181,NA,0.3,0.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165604,505183,NA,0.4,0.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165605,505179,NA,0.2,0.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165606,197185,NA,3.2,2.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165607,507171,8.5,NA,4.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165608,507160,6.5,NA,3.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165609,507159,7.6,NA,4.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165610,599366,NA,0.1,0.11,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165611,395870,31.6,NA,5.4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165612,888567,20,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165613,504492,NA,2.6,2.4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165614,539804,NA,1.9,1.6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165615,464164,NA,0.95,0.85,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165616,506040,1.1,0.5,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165617,395503,NA,0.24,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165618,505917,NA,0.35,0.27,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165619,395504,NA,0.14,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165620,395505,NA,0.28,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165621,395506,NA,0.21,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165622,395507,NA,0.51,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165623,395508,NA,0.205,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165624,405859,NA,3.69,4.64,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165625,405249,NA,0.65,0.55,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165626,505032,NA,0.21,0.23,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165627,505033,NA,0.2,0.23,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165628,505031,NA,0.12,0.15,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165629,747148,5,NA,2.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165630,747150,5.1,NA,2.8,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165631,506787,NA,3,1.9,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165632,395509,NA,0.52,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165633,391806,NA,NA,1.32,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165634,832560,6,NA,3.6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165635,507714,3.1,NA,2.4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165636,539930,0.8,NA,0.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165637,532940,NA,1.6,1.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165638,592709,NA,0.14,0.12,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165639,505196,NA,0.27,0.17,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165640,505194,0.7,NA,0.45,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165641,505195,0.7,NA,0.4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165642,505192,0.23,NA,0.15,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165643,505193,0.45,NA,0.27,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165644,505197,0.85,NA,0.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165645,592715,NA,0.37,0.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165646,592717,NA,0.24,0.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165647,506337,0.45,NA,0.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165648,506331,0.25,NA,0.18,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165649,540145,NA,0.2,0.17,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165650,540147,NA,0.17,0.15,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165651,540148,NA,0.28,0.24,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165652,507268,NA,2,1.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165653,507738,NA,6,4.8,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165654,505464,NA,5.8,8.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165655,397092,3.6,2.4,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165656,505549,0.45,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165657,505567,NA,0.16,0.24,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165658,505551,NA,NA,1.1,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165659,505565,0.3,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165660,505548,NA,2,4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165661,505553,NA,NA,1.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165662,505554,NA,0.3,0.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165663,505556,NA,0.58,0.87,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165664,505525,NA,0.6,1.1,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165665,505557,NA,0.45,0.75,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165666,505622,NA,1,1.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165667,504572,NA,0.8,1,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165668,722857,NA,0.8,0.7,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165669,540381,NA,0.64,0.4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165670,504718,0.5,NA,0.38,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165671,504713,0.48,NA,0.67,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165672,504721,0.32,NA,0.22,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165673,504720,0.21,NA,0.15,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165674,464204,NA,5,4.8,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165675,505162,NA,0.65,0.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165676,599383,8.1,NA,5.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165677,836033,20,8.5,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165678,506211,1.4,NA,0.85,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165679,599369,NA,1.8,1.7,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165680,393837,NA,5.5,5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165681,393737,2.7,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165682,506110,11.5,7,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165683,599384,NA,1.7,1.1,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165684,504266,NA,7.7,6.6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165685,595532,NA,0.27,0.19,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165686,506138,4.7,2.8,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165687,506794,NA,1.6,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165688,506796,NA,1,0.8,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165689,397144,NA,4.7,3.8,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165690,506798,NA,1.8,1.4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165691,395516,NA,0.51,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165692,592726,NA,1.5,0.9,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165693,876286,NA,0.33,0.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165694,506813,NA,1.8,1.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165695,592734,NA,0.22,0.16,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165696,592738,NA,0.63,0.43,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165697,592739,NA,0.6,0.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165698,592740,NA,0.75,0.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165699,592741,NA,0.75,0.55,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165700,592742,NA,0.52,0.42,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165701,592743,NA,0.33,0.26,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165702,140481,15,6.3,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165703,506243,4.2,NA,2.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165704,397151,4.2,NA,2.1,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165705,506241,3.6,NA,1.9,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165706,506250,0.5,NA,0.32,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165707,506251,0.48,NA,0.36,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165708,506254,0.36,NA,0.27,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165709,505223,NA,0.26,0.23,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165710,826369,NA,3,2.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165711,505820,NA,0.25,0.33,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165712,506657,NA,0.18,0.16,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165713,506656,NA,0.2,0.18,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165714,506638,NA,0.8,0.8,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165715,506676,NA,0.48,0.45,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165716,506658,NA,0.58,0.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165717,506363,NA,0.48,0.23,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165718,506853,NA,10.4,7,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165719,397160,8,7.5,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165720,156924,4.5,3,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165721,1061455,11.1,6.5,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165722,505237,NA,0.12,0.14,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165723,505238,NA,0.1,0.08,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165724,505236,NA,0.12,0.15,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165725,505240,NA,0.09,0.08,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165726,505239,NA,0.15,0.12,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165727,505406,NA,12,6.6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165728,505403,NA,15,8.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165729,505806,9.5,NA,5.9,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165730,505809,12.7,NA,9.8,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165731,505810,9.8,NA,6.9,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165732,397165,14.9,NA,9.1,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165733,567329,NA,0.9,0.9,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165734,413862,NA,3,2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165735,507048,NA,4.5,2.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165736,387420,NA,0.7,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165737,215410,NA,NA,0.76,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165738,390671,NA,1.2,1.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165739,390684,NA,NA,1.3,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165740,390696,NA,NA,0.78,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165741,390712,NA,NA,0.76,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165742,395517,NA,0.3,0.25,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165743,395519,1.15,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165744,393937,NA,17.5,15,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165745,397169,11.4,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165746,505204,NA,0.14,0.13,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165747,505207,NA,0.19,0.16,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165748,505208,NA,0.2,0.15,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165749,505206,NA,0.26,0.21,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165750,505209,NA,0.27,0.22,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165751,505203,NA,0.35,0.25,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165752,504740,NA,0.41,0.49,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165753,504734,NA,0.32,0.42,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165754,504735,NA,0.42,0.56,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165755,504732,NA,0.44,0.6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165756,507028,2.6,NA,1.7,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165757,507026,5.2,NA,2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165758,507025,3,NA,1.4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165759,464497,4.9,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165760,395521,NA,0.61,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165761,395522,NA,0.62,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165762,395523,NA,0.61,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165763,504935,NA,0.26,0.23,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165764,504936,NA,0.22,0.22,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165765,504929,NA,0.6,0.65,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165766,504931,NA,0.85,0.75,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165767,504927,NA,1,0.9,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165768,506439,1.8,NA,0.6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165769,508006,NA,1.62,1.22,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165770,408615,NA,1.1,0.8,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165771,504937,NA,1.3,0.7,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165772,599376,NA,3.2,2.7,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165773,596130,2,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165774,722859,NA,0.23,0.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165775,607414,NA,0.15,0.1,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165776,391556,NA,NA,6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165777,599389,NA,4,3.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165778,395524,NA,0.28,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165779,408102,NA,0.7,0.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165780,592592,6,NA,1.7,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165781,507098,NA,13,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165782,504940,NA,4.5,4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165783,504942,NA,3.2,2.4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165784,830157,NA,0.17,0.13,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165785,830158,NA,0.13,0.12,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165786,505756,12,NA,5.7,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165787,408108,NA,1.8,1.1,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165788,505152,NA,2,1.2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165789,546012,0.82,0.4,0.5,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165790,390476,1,0.4,0.52,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165791,397183,8,5.5,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165792,505120,0.75,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165793,393326,NA,NA,7,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165794,505757,3.4,NA,2,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165795,592690,NA,0.7,0.4,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165796,722865,NA,3.2,3.1,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165797,506176,1.1,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165798,565258,3.8,NA,2.6,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165799,852830,1.6,NA,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
165800,852831,2.1,0.8,NA,,"{Spurgeon, 2021 #1543}",6/2/24,solitary
